mineral,anio,empresa,propietarios,capital,ubicacion,capacidad,unidad_capacidad,fuente,nota
barita,2019,"Baramin, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Minas Galeana y La Huiche, Galeana, N.L.",,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",capacidad NA
barita,2019,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",
barita,2019,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",
barita,2019,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",
cobre,2019,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, mina Pilares, fundición, refinería y planta SX-EW en La Caridad, Son.",170 concentrados; 300 fundición; 25 SX-EW; 300 refinería,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",suma mina Pilares
cobre,2019,"Mexicana de Cananea, S.A. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina Buenavista del Cobre y planta SX-EW en Cananea, Son.",150 concentrados; 150 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",capacidad SX-EW sube de 70 a 150
cobre,2019,"Cobre del Mayo, S.A. de C.V.","Invecture Group, S.A. de C.V. 100%",privado mexicano,"Mina Piedras Verdes y planta SX-EW, Son.",20 concentrados; 32 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",NUEVO en la tabla 2014
cobre,2019,"Cía. Minera La Parreña, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Mina Milpillas y planta SX-EW en Santa Cruz, Son.",45 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",NUEVO en la tabla 2014
cobre,2019,"Minera María, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.",20 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",
cobre,2019,Red Tiger Mining Inc.,Red Tiger Mining Inc. 100%,canadiense,"Mina Luz de Cobre y planta SX-EW en San Antonio del Huerta, Son.",8 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11",NUEVO en la tabla 2014
cobre,2019,"Minera y Metalúrgica del Boleo, S.A.P.I. de C.V. (MMB)",Korea Resources Corp. 90%; Baja Mining Corp. 10%,mixto surcoreano-canadiense,"Mina Boleo y planta SX-EW, B.C.S.",20 concentrados; 20 SX-EW,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.11","Boleo (El Boleo, Santa Rosalía)"
fluorita,2019,"Mexichem Fluor, S.A. de C.V.","Mexichem, S.A.B. de C.V. 100%",privado mexicano,"Mina Las Cuevas, Zaragoza, S.L.P.",1200,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12","CAMBIO: entidad Las Cuevas renombrada Mexichem Fluor; capacidad sube de 520 a 1,200"
fluorita,2019,"Fluorita de México, S.A. de C.V.","Mexichem, S.A.B. de C.V. 100%",privado mexicano,"Mina La Sabina, Múzquiz, Coah.",100,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",ambos productores bajo Mexichem: fluorita monopolio de grupo; capacidad baja de 150 a 100
grafito,2019,"Grafitos Mexicanos, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Minas Lourdes, Topiyeca y San Juan, Son.",60,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",SALIDA: Grafito Superior ya no aparece; queda un solo productor de grafito
manganeso,2019,"Compañía Minera Autlán, S.A.B. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",capacidad en mineral y concentrado; USGS 2014 mostraba 54% (inconsistencia)
oro,2019,"Minera Peñasquito, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina Peñasquito, Zac.",27000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12","oro de mina; capacidad sube de 14,200 a 27,000"
oro,2019,"Desarrollos Mineros San Luis, S.A. de C.V.",Leagold Mining Corp. 100%,canadiense,"Mina Los Filos, Gro.",6000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina; Los Filos bajo Leagold Mining Corp.
oro,2019,"Minera Frisco, S.A.B. de C.V. (El Coronel)","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina El Coronel, Zac.",5300,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,"Primero Empresa Minera, S.A. de C.V.",Primero Mining Corp. 100%,canadiense,"Mina San Dimas, Dgo.",4500,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,Agnico Eagle Mines Ltd.,Agnico Eagle Mines Ltd. 100%,canadiense,"Mina Pinos Altos, Chih.; Mina La India, Son.",4800,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina; suma mina La India
oro,2019,Alamos Gold Inc.,Alamos Gold Inc. 100%,canadiense,"Mina Mulatos, Son.",4300,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,Timmins Gold Corp.,Timmins Gold Corp. 100%,canadiense,"Mina San Francisco, Son.",3500,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,"Minera Mexicana La Ciénega, S.A. de C.V.",Fresnillo plc 100%,privado mexicano,"Mina La Ciénega, Dgo.",3400,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,"Ocampo Mining, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina Ocampo, Chih.",3300,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,Yamana Gold Inc.,Yamana Gold Inc. 100%,canadiense,"Mina Las Mercedes, Son.",3200,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,GoGold Resources Inc.,GoGold Resources Inc. 100%,canadiense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina
oro,2019,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Torreón, Coah.",53900,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12","oro REFINADO; capacidad sube de 36,700 a 53,900"
oro,2019,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Minas La Ciénega, Dgo.; Fresnillo y Saucito, Zac.; La Herradura, Soledad-Dipolos y Noche Buena, Son.",23700,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina; fila agregada de Fresnillo plc (suma Soledad-Dipolos); OJO: solapa con la fila Minera Mexicana La Ciénega
oro,2019,Torex Gold Resources Inc.,Torex Gold Resources Inc. 100%,canadiense,"Mina El Limón-Guajes (ELG), Gro.",10200,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",oro de mina; NUEVO productor 2015: El Limón-Guajes (ELG)
plata,2019,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Mina Fresnillo, Zac.",1100000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Minera Peñasquito, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina Peñasquito, Zac.",794000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,Fresnillo plc (Saucito),"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Mina Saucito, Zac.",567000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Bárbara, Chih.; Santa Eulalia, Chih.; Taxco, Gro.",336000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,Pan American Silver Corp.,Pan American Silver Corp. 100%,canadiense,"Mina La Colorada, Zac.; Alamo Dorado, Son.",283000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Coeur Mexicana, S.A. de C.V.","Coeur Mining, Inc. 100%",estadounidense,"Mina Palmarejo, Chih.",190000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Primero Empresa Minera, S.A. de C.V.",Primero Mining Corp. 100%,canadiense,"Mina San Dimas, Dgo.",170000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,Fortuna Silver Mines Inc.,Fortuna Silver Mines Inc. 100%,canadiense,"Mina San José, Oax.",125000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Minera Mexicana La Ciénega, S.A. de C.V.",Fresnillo plc 100%,privado mexicano,"Mina La Ciénega, Dgo.",114000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Mining Co. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",150000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",140000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,Golden Minerals Co.,Golden Minerals Co. 100%,estadounidense,"Mina Velardeña, Dgo.",16000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina; mina Velardeña SUSPENDIDA desde 2015 (nota 3 USGS 2019)
plata,2019,Argonaut Gold Inc.,Argonaut Gold Inc. 100%,canadiense,"Mina La Colorada, Son.",10000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina
plata,2019,"Metalúrgica Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Torreón, Coah.",3350000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata REFINADA (refinería)
plata,2019,GoGold Resources Inc.,GoGold Resources Inc. 100%,canadiense,"Proyecto de jales de Parral, Chih.",34000,kg,"USGS MYB Mexico 2019, Tabla 2, PDF p.13",plata de mina (jales); NUEVO 2015
plomo,2019,"Industrias Peñoles, S.A.B. de C.V.",privado mexicano 100%,privado mexicano,"Minas Bismark, Chih.; Francisco I. Madero, Naica, Chih.; Sabinas, Dgo.",51,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",USGS separa plomo y zinc en 2014
plomo,2019,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; Santa Bárbara y Santa Eulalia, Chih.; San Martín, Zac.",35,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",
plomo,2019,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Minas Fresnillo, Zac.; La Ciénega, Dgo.; Saucito, Zac.",43,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",capacidad sube de 38 a 43
plomo,2019,"Minera San Francisco del Oro, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 99.6%",privado mexicano,"Mina San Francisco del Oro, Chih.",13,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",
plomo,2019,"Minera Tayahua, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 89.9%",privado mexicano,"Mina Tayahua, Zac.",10,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",
plomo,2019,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Mining Co. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",10,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",
plomo,2019,"Metalúrgica Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Torreón, Coah.",180,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.12",plomo REFINADO
zinc,2019,"Industrias Peñoles, S.A.B. de C.V.",privado mexicano 100%,privado mexicano,"Minas Bismark, Chih.; Francisco I. Madero, Naica, Chih.; Sabinas, Dgo.; Velardeña, Dgo.",210,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",USGS separa plomo y zinc en 2014
zinc,2019,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; Santa Bárbara y Santa Eulalia, Chih.; San Martín, Zac.",130,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",
zinc,2019,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Minas Fresnillo, Zac.; La Ciénega, Dgo.; Saucito, Zac.",48,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",
zinc,2019,"Minera Tayahua, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 89.9%",privado mexicano,"Mina Tayahua, Zac.",40,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",
zinc,2019,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 51%; Dowa Mining Co. 39%; Sumitomo Corp. 10%",privado mexicano,"Mina Tizapa, Méx.",38,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",
zinc,2019,"Minera San Francisco del Oro, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 99.6%",privado mexicano,"Mina San Francisco del Oro, Chih.",23,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",
zinc,2019,"Metalúrgica Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Torreón, Coah.",350,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",zinc REFINADO; capacidad sube de 270 a 350
zinc,2019,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,Refinería de zinc en S.L.P.,105,miles t,"USGS MYB Mexico 2019, Tabla 2, PDF p.14",zinc REFINADO
barita,2021,"Baramin, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Minas Galeana y La Huiche, Galeana, N.L.",,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",capacidad NA
barita,2021,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
barita,2021,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
barita,2021,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
cobre,2021,"Mexicana de Cananea, S.A. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina Buenavista del Cobre y planta SX-EW en Cananea, Son.",340 concentrados; 150 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",capacidad de concentrados sube de 150 a 340
cobre,2021,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, mina Pilares, fundición, refinería y planta SX-EW en La Caridad, Son.",170 concentrados; 300 fundición; 25 SX-EW; 300 refinería,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
cobre,2021,"Negociación Minera Santa María de la Paz, S.A. de C.V.",n.d.,privado mexicano,"Mina NEMISA, Villa de la Paz, S.L.P.",25,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",NUEVO en la tabla 2021
cobre,2021,"Minera y Metalúrgica del Boleo, S.A.P.I. de C.V. (MMB)",Korea Resources Corp. 90%; Baja Mining Corp. 10%,mixto surcoreano-canadiense,"Mina Boleo y planta SX-EW, B.C.S.",20 concentrados; 20 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
cobre,2021,"Cobre del Mayo, S.A. de C.V.","Invecture Group, S.A. de C.V. 100%",privado mexicano,"Mina Piedras Verdes y planta SX-EW, Son.",20 concentrados; 32 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",
cobre,2021,Capstone Mining Corp.,Capstone Mining Corp. 100%,canadiense,"Mina Cozamín, cerca de Zacatecas, Zac.",18,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",NUEVO en la tabla 2021
cobre,2021,Aura Minerals Inc.,Aura Minerals Inc. 100%,canadiense,"Mina Aranzazú, Concepción del Oro, Zac.",12,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",NUEVO en la tabla 2021
cobre,2021,Sierra Metals Inc.,Sierra Metals Inc. 100%,canadiense,"Mina Bolívar, Piedras Verdes, Chih.",12,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.14",NUEVO en la tabla 2021
cobre,2021,"Grupo México, S.A.B. de C.V. (Santa Bárbara)","Grupo México, S.A.B. de C.V. 100%",privado mexicano,"Mina Santa Bárbara, Chih.",5,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,"Grupo México, S.A.B. de C.V. (San Martín)","Grupo México, S.A.B. de C.V. 100%",privado mexicano,"Mina San Martín, Zac.",4,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,"Grupo México, S.A.B. de C.V. (Charcas)","Grupo México, S.A.B. de C.V. 100%",privado mexicano,"Mina Charcas, S.L.P.",4,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,"Industrias Peñoles, S.A.B. de C.V. (Sabinas)","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",4,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,"Minera Frisco, S.A.B. de C.V. (Tayahua)","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina Tayahua, Mazapil, Zac.",4,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,Gold Resource Corp.,Gold Resource Corp. 100%,estadounidense,"Mina El Águila, San Pedro Totolapa, Oax.",2,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",NUEVO en la tabla 2021
cobre,2021,"Cía. Minera La Parreña, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Mina Milpillas y planta SX-EW en Santa Cruz, Son.",45 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",
cobre,2021,"Minera María, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 99.6%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.",20 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",
cobre,2021,Red Tiger Mining Inc.,Red Tiger Mining Inc. 100%,canadiense,"Mina Luz de Cobre y planta SX-EW en San Antonio del Huerta, Son.",8 SX-EW,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",
fluorita,2021,"Mexichem Fluor, S.A. de C.V.","Mexichem, S.A.B. de C.V. 100%",privado mexicano,"Mina Las Cuevas, Zaragoza, S.L.P.",1200,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","CAMBIO: entidad Las Cuevas renombrada Mexichem Fluor; capacidad sube de 520 a 1,200"
fluorita,2021,"Fluorita de México, S.A. de C.V.","Mexichem, S.A.B. de C.V. 100%",privado mexicano,"Mina La Sabina, Múzquiz, Coah.",100,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",ambos productores bajo Mexichem: fluorita monopolio de grupo; capacidad baja de 150 a 100
grafito,2021,"Grafitos Mexicanos, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Minas Lourdes, Topiyeca y San Juan, Son.",60,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",SALIDA: Grafito Superior ya no aparece; queda un solo productor de grafito
manganeso,2021,"Compañía Minera Autlán, S.A.B. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16",capacidad en mineral y concentrado; USGS 2014 mostraba 54% (inconsistencia)
oro,2021,"Minera Peñasquito, S.A. de C.V.",Newmont Corp. 100%,estadounidense,"Mina Peñasquito, Zac.",27000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina; CAMBIO: Peñasquito pasa de Goldcorp a Newmont Corp.
oro,2021,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Minas La Ciénega, Dgo.; Fresnillo, Zac.; La Herradura, Son.; Noche Buena, Son.; Saucito, Zac.",23700,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina; fila agregada de Fresnillo plc; OJO: solapa con la fila Minera Mexicana La Ciénega
oro,2021,Torex Gold Resources Inc.,Torex Gold Resources Inc. 100%,canadiense,"Mina El Limón-Guajes (ELG), Gro.",14500,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 10,200 a 14,500"
oro,2021,"Minas de las Altas Pimerías, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina El Sauzal, Chih.",8500,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina; mina CERRADA (nota 3 USGS)
oro,2021,"Desarrollos Mineros San Luis, S.A. de C.V.",Leagold Gold Corp. 100%,canadiense,"Mina Los Filos, Gro.",6500,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 6,000 a 6,500"
oro,2021,Agnico Eagle Mines Ltd.,Agnico Eagle Mines Ltd. 100%,canadiense,"Mina Pinos Altos, Chih.; Mina La India, Son.",6000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 4,800 a 6,000"
oro,2021,"Minera Frisco, S.A.B. de C.V. (El Coronel)","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina El Coronel, Zac.",6000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 5,300 a 6,000"
oro,2021,"Primero Empresa Minera, S.A. de C.V.",Primero Mining Corp. 100%,canadiense,"Mina San Dimas, Dgo.",6000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 4,500 a 6,000"
oro,2021,Alamos Gold Inc.,Alamos Gold Inc. 100%,canadiense,"Mina Mulatos, Son.",5000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15","oro de mina; capacidad sube de 4,300 a 5,000"
oro,2021,Timmins Gold Corp.,Timmins Gold Corp. 100%,canadiense,"Mina San Francisco, Son.",3500,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina
oro,2021,"Minera Mexicana La Ciénega, S.A. de C.V.",Fresnillo plc 100%,privado mexicano,"Mina La Ciénega, Dgo.",3400,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina
oro,2021,"Ocampo Mining, S.A. de C.V.","Minera Frisco, S.A.B. de C.V. 100%",privado mexicano,"Mina Ocampo, Chih.",3300,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina
oro,2021,Yamana Gold Inc.,Yamana Gold Inc. 100%,canadiense,"Mina Las Mercedes, Son.",3200,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina
oro,2021,GoGold Resources Inc.,GoGold Resources Inc. 100%,canadiense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro de mina
oro,2021,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A.B. de C.V. 100%",privado mexicano,"Torreón, Coah.",53900,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.15",oro REFINADO
plata,2021,Fresnillo plc,"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Mina Fresnillo, Zac.",1100000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16",plata de mina
plata,2021,"Minera Peñasquito, S.A. de C.V.",Goldcorp Inc. 100%,canadiense,"Mina Peñasquito, Zac.; San Julián, Chih.",1000000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16","plata de mina; sube de 794,000 a 1,000,000 y suma San Julián. DISCREPANCIA USGS: en la fila de oro 2021 Peñasquito figura bajo Newmont Corp."
plata,2021,Fresnillo plc (Saucito),"Industrias Peñoles, S.A.B. de C.V. 75%",privado mexicano,"Mina Saucito, Zac.",567000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16",plata de mina
plata,2021,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Bárbara y Santa Eulalia, Chih.; Taxco, Gro.",336000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16",plata de mina
plata,2021,Pan American Silver Corp.,Pan American Silver Corp. 100%,canadiense,"Mina La Colorada, Zac.; Alamo Dorado, Son.; Dolores, Chih.",283000,kg,"USGS MYB Mexico 2020-2021, Tabla 2 (fechada en 2021), PDF p.16",plata de mina; suma mina Dolores
